anime_id,en_title,year
73,Full Metal Panic! The Second Raid,2005.0
4898,Black Butler,2008.0
19111,Love Live! School Idol Project 2,2014.0
7222,Macross Frontier: The Wings of Farewell,2011.0
15689,Nekomonogatari Black,2012.0
957,The Story of Saiunkoku,2006.0
24,School Rumble,2004.0
849,The Melancholy of Haruhi Suzumiya,2006.0
2623,The Dog of Flanders,1997.0
427,Kaleido Star,2003.0
4280,The Garden of Sinners Chapter 4: The Hollow Shrine,2008.0
18429,,2013.0
17549,Non Non Biyori,2013.0
28,Yakitate!! Japan,2004.0
9513,Beelzebub,2011.0
14353,Death Billiards,2013.0
13331,Jormungand Season 2: Perfect Order,2012.0
4985,Magical Girl Lyrical Nanoha: The Movie 1st,2010.0
29803,Overlord,2015.0
22,The Prince of Tennis,2001.0
2618,Treasure Island,1978.0
793,xxxHOLiC The Movie: A Midsummer Night's Dream,2005.0
30279,,2015.0
28755,Boruto: Naruto the Movie,2015.0
10029,From Up on Poppy Hill,2011.0
2035,Emma: A Victorian Romance Season Two,2007.0
790,Ergo Proxy,2006.0
9289,Hanasaku Iroha: Blossoms for Tomorrow,2011.0
15809,The Devil is a Part-Timer!,2013.0
27989,Sound! Euphonium,2015.0
5630,Eden of The East,2009.0
2829,Sans Famille,1996.0
30831,KonoSuba: God's Blessing on This Wonderful World!,2016.0
416,Porco Rosso,1992.0
85,Mobile Suit Zeta Gundam,1985.0
1254,Saint Seiya: Knights of the Zodiac,1986.0
2605,"Sayonara, Zetsubou-Sensei",2007.0
3228,,2008.0
1485,Baby and Me,1996.0
13119,Hakuoki ~Demon of the Fleeting Blossom~ Warrior Spirit of the Blue Sky,2014.0
3782,The Garden of Sinners Chapter 2: A Study in Murder - Part 1,2007.0
3572,Macross Frontier,2008.0
114,Cromartie High School,2003.0
658,Akagi,2005.0
32370,D.Gray-man HALLOW,2016.0
22777,Dragon Ball Z Kai: The Final Chapters,2014.0
29787,Is the Order a Rabbit??,2015.0
7062,,2010.0
11887,Kokoro Connect,2012.0
12815,Polar Bear Cafe,2012.0
12017,Tiger & Bunny: The Rising,2014.0
6377,,2009.0
1470,,1987.0
780,Case Closed: The Fourteenth Target,1998.0
14349,,2013.0
996,Sailor Moon Sailor Stars,1996.0
9465,Broken Blade 4,2010.0
14175,Hanasaku Iroha the Movie: Home Sweet Home,2013.0
